0950B41C	California Agriculture
0B9EBDC8	Behavior and Philosophy
0BBA5276	Tropical Plant Pathology
0BCADDD2	Oral Oncology Supplement
0BCF1792	Myconet
0BE2324E	Journal of The Turkish German Gynecological Association
0BEA9BC4	Theoretical and Computational Chemistry
0C033CEA	Hospital Medicine
0C035BC9	Journal of University of Science and Technology Beijing
0C1404AB	Topics in Spinal Cord Injury Rehabilitation
0C215747	Studia Psychologica
0C2BC0D3	Asia Pacific Journal of Pharmacology
0C39D302	Journal of Environmental Medicine
0C5C01BA	Erfahrungsheilkunde
37F6F4DC	Child Life
38382A95	Zeitschrift Des Deutschen Palastina-vereins
384FC687	Journal of The Institution of British Telecommunications Engineers
388E8E3C	Abasebenzi
3922BBC0	Revista Latinoamericana De Hipertension
3935FDBD	Dynamische Psychiatrie
39B4CFE2	Proceedings of The National Academy of Sciences India Section B-biological Sciences
3A2E439C	Transylvanian Review
3A4A7C49	New Horizons-the Science and Practice of Acute Medicine
3A87884C	Cahiers Victoriens & Edouardiens
3A9E70C0	Chinese Journal of Mechanics-series A
3B1CDC19	New Orleans Review
3BB3C369	Television Quarterly
3C5E1E86	Pharmazeutische Industrie
3CD3CD1F	Revista Facultad De Ingenieria-universidad De Antioquia
3D24E237	Aibr-revista De Antropologia Iberoamericana
3DC0C43A	Critica D Arte
3A283CCF	Project MUSE
00E8884F	International Journal of Environmental Research and Public Health
044FFCFD	Clinical Infectious Diseases
0A0EC5D9	Evidence-Based Nursing
057969FC	Journal of Negro Education
078C4CDD	Developmental Psychology
05B382FD	The Journal of Politics
00E496C1	World Archaeology
00EB582B	The Hudson Review
02A80D72	Chemical Physics Letters
05E3B6D9	Human Mutation
0A1074F6	Journal of the Experimental Analysis of Behavior
0B09BA80	American Journal of Cardiology
02DCB8E7	Journal of Obstetric, Gynecologic, & Neonatal Nursing
0198306C	Journal of Pakistan Medical Association
025D104B	Planta Medica
0538FD05	Journal of Studies on Alcohol and Drugs
04AFD3EC	Velvet Light Trap
07F93F4F	Rubber Chemistry and Technology
0A1939C7	Yale Economic Review
06A4CF57	Nucleosides, Nucleotides & Nucleic Acids
009878F8	Traumatology
0590C518	Nature Reviews Immunology
067C76B0	Arctic
0B48A802	Indiana Law Journal
0AB75B1C	Journal of Vaishnava Studies
0465E310	Journal of Personality
07A3050E	Cell Stem Cell
047C2E1D	Biochimie
06ABE24F	Journal of Physics D
07134968	European Journal of Physics
0A2E582E	Journal of Micromechanics and Microengineering
0C1A4C5C	Neuroscience Letters
0A860FFE	Annual Review of Plant Biology
06F26AA6	Turkish Journal of Biology
0ABA440D	International Economic Review
04983A77	International Journal of Geriatric Psychiatry
0838E8B6	Computational and Theoretical Chemistry
03DD40EE	Journal of Leadership & Organizational Studies
05C5A934	European Psychologist
070D2EC7	Journal of Pharmacy and Pharmacology
0C33862D	Fractals
0811E76B	Journal of the Southwest
0837D554	Film International
3CA0F1A2	The Zoological Record
0B151239	Area
0406145E	Peace and Conflict: Journal of Peace Psychology
019F829B	Advances in Therapy
04054072	The Harvard Review of Philosophy
098ACBE1	Architectural History
39E4091E	Gorgias Press
0977C026	Nonlinearity
06B53A0E	Journal of Medical Genetics
0BAB2F3D	Intercultural Pragmatics
036B8EA1	Expert Opinion on Biological Therapy
0234D64E	The Journal of Collective Negotiations
093DF1E5	The Chaucer Review
080E6320	Georgetown Journal of International Law
0B1E7B0B	Clinical Lymphoma, Myeloma & Leukemia
05695FB8	Monthly Weather Review
0B73905A	Journal of Elastomers and Plastics
3B173E92	UCL Jurisprudence Review
040AAAC4	Journal of Applied Mathematics and Mechanics
0812C055	Differences
0AED802D	Adaptive Behavior
02790879	International Journal of Pattern Recognition and Artificial Intelligence
096D1940	Irish Theological Quarterly
0B07701D	Myrmecological News
38E3F475	In Theory Only
07CDCA8A	American Journal of Clinical Oncology
045A9ABB	European Intellectual Property Review
042BC3F8	Romanticism
0109E4B0	Agronomy for Sustainable Development
0444A922	Australian Feminist Studies
073BFB78	Order
0610B6D3	Pediatric Hematology and Oncology
03474129	History of Science
03643111	Vigiliae Christianae
06DDB88B	Theology and Science
09AAED92	Studies in Higher Education
042C1B28	JGE: The Journal of General Education
00CD9FC3	Neurology India
0641039F	Computational Biology and Chemistry
031E4E9F	Cutaneous and Ocular Toxicology
0712F396	Mediterranean Journal of Educational Studies
085B8F4B	Journal of Grid Computing
02E96FF8	Cretaceous Research
08FFDB94	Nursing Ethics
09827371	Journal of Business Ethics Education
0BAAC277	Clinics in Dermatology
3C30578A	Asian Journal of Pentecostal Studies
022E0423	Food Science and Technology International
04D61EB3	Critical Reviews in Physical and Rehabilitation Medicine
05A0A4D4	Canadian Geographer
060C414B	International Journal of Thermophysics
09E2E874	Research on Aging
3A4F243C	Articulo – Journal of Urban Research
3A6A90C6	Myśl.pl
015DF063	African Journal of Reproductive Health
01D7321F	Studia Logica
031AC857	Indian Journal of Pathology & Microbiology
04274485	ACIMED
097C78DA	Kwartalnik Historyczny
3984C9C6	Species Traitor
01A6E00E	Pediatric Transplantation
06BF03A1	Law & Justice
078A3917	European Urban and Regional Studies
0B99D74A	Genes
00073AD5	Kleintierpraxis
0007FADE	Anatomy and Embryology
000952F4	Journal of Macromolecular Science, Part A
00112C7E	Adoption Quarterly
0011CF1C	Japanese Journal of Nematology
0012FE97	Plasma Chemistry and Plasma Processing
001ED244	Cardiac Electrophysiology Clinics
0021BC79	Earth System Science Data Discussions
00240603	Kyoto Journal of Mathematics
002FE150	Progress in Natural Science
003E3A70	Zoologica Scripta
0044D8EF	Journal of Advanced Computational Intelligence and Intelligent Informatics
0046199E	Prion
0058D052	Eurasip Journal on Information Security
006D2132	Doboku Gakkai Ronbunshuu F
006D3ED0	Physica Status Solidi A-applications and Materials Science
007BA09A	Die Casting Engineer
008547C2	Neuroscience Research
00900A93	Environnement Risques & Sante
00A2A530	Film Criticism
00A8FEFC	International Journal of Strategic Information Technology and Applications
00B2C852	Journal of Materials Synthesis and Processing
00CDFC6B	Exemplaria-a Journal of Theory in Medieval and Renaissance Studies
00DE1AD9	Journal of Endotoxin Research
00E499E7	Geografiska Annaler Series B-human Geography
00E9ACDE	International Journal of Satellite Communications
00EA035B	Forensic Science International
00EAF453	Annales Umcs, Medicina
00EC2625	Genetic Vaccines and Therapy
0105A1CC	Science and Technology of Nuclear Installations
010CC182	International Journal of The Japan Society for Precision Engineering
0113068C	Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca
0114204C	Current Drug Safety
011614E8	Progress of Theoretical Physics
012A11DF	Community Development Journal
01453939	Journal of Cardiopulmonary Rehabilitation and Prevention
014F4173	Korean Journal of Laboratory Medicine
01542D06	Clinical Performance and Quality Healthcare
015F06C2	Critical Public Health
01677CD9	Plasma Physics
01727EB4	The Open Political Science Journal
01729E01	Canadian Water Resources Journal
017B079D	Eearth Discussions
017BDAF6	Current Drug Targets - Infectious Disorders
01887614	Telematics and Informatics
018C32D9	Biosemiotics
01921B89	International Journal of Nanotechnology and Molecular Computation
019DBB38	Numerical Functional Analysis and Optimization
01A22BAB	Ecohealth
01ACA8CE	Digestion
01B80231	Scandinavian Journal of Rehabilitation Medicine
01BADB58	Southeast Asian Affairs
01C6FC7A	Marketing Intelligence & Planning
01CF243B	Manufacturing Chemist
01CF94FA	Journal of Anthropological Research
01E08D95	South African Journal of Botany
01E1DE51	Nippon Ishinkin Gakkai Zasshi
01F560E6	Otolaryngologic Clinics of North America
0203778D	Journal of Experimental & Clinical Cancer Research
02045DA8	Revista Espanola De Enfermedades Digestivas
0204EA8A	Journal of Pacific Rim Psychology
023F33F4	Journal of The University Librarians Association of Sri Lanka
025585D3	Societes
02779EF6	Behavioral Research in Accounting
02799AAA	ACM Transactions on Knowledge Discovery From Data
0282FBF8	Behavioral Biology
028FD383	Journal of Archaeological Method and Theory
0290CAD5	International Journal of Cardiovascular Imaging
02950808	Botanica Helvetica
0296787C	Journal of Strategic Marketing
029826BB	Educational Psychology
02A1F1FA	Journal of Pediatric Psychology
02B03EA2	Neuromolecular Medicine
02B086A2	Inflammatory Bowel Diseases
02C1030C	La Revue Des Sciences De Gestion, Direction Et Gestion
02CACB49	Quality in Higher Education
02E14752	Japanese Journal of Veterinary Clinics
02EE6665	Iee Proceedings - Information Security
02F69F36	Chemie Der Erde-geochemistry
030526A3	Caldasia
03090EF3	Journal of Ultrasound
0316FC16	International Journal for Ion Mobility Spectrometry
0332E091	Recent Patents on Chemical Engineering
03441BD1	Journal of Educational Research
0356CC27	Norsk Geografisk Tidsskrift-norwegian Journal of Geography
035F16AC	International Journal of Environment and Pollution
0368E539	Rinascimento
0370A4DF	Algological Studies
038387A9	Medical Update for Psychiatrists
0398B740	Food Science and Technology Research
03A74E5F	International Journal of Fertility & Sterility
03AF0C1F	Bios
03B2666F	Perspectives on Swallowing and Swallowing Disorders (dysphagia)
03BA3AD5	Iranian Journal of Science and Technology
03C02172	Archivos Latinoamericanos De Nutricion
03C4044F	Frontiers of Environmental Science & Engineering in China
03C709BC	The Open Microbiology Journal
03CF7E1C	International Journal of Machine Tool Design and Research
03E07170	Geomicrobiology Journal
03EDCB8C	Romanian Reports in Physics
03F5508B	Asian Journal of Pharmaceutics
040F19F3	Cardiology News
0416151F	Journal of Enhanced Heat Transfer
0416785B	Geothermics
041D3993	South Asia Economic Journal
043C2945	Atenea
044EFA10	Mechanics of Composite Materials
045CC864	Dairy Industries International
045E23E7	Sensors and Actuators
045FD08C	Russian Journal of Organic Chemistry
046A0875	International Journal of Vehicle Information and Communication Systems
046B40B7	Revue De L Art
046C6735	Tumor Targeting
046FAD86	Hazardous Waste Consultant
0483365C	The Open Dermatology Journal
04ABC467	Histoire & Mesure
04AF920A	Frontiers of Agriculture in China
04B6A14C	Journal of Ethnicity in Criminal Justice
04C2202E	Fisioterapia
04D5CCDE	Cognitive Neuropsychology
04D94E07	Journal of Reformed Theology
04DA705C	Quaternary Science Reviews
04E11E7D	Souls
04EF6CF9	Arts & Health
04F96970	Publications of The English Goethe Society
052040D8	Interdisciplinary Information Sciences
05292126	Kognitionswissenschaft
05308AFD	ACM Transactions on Information Systems
053EC6FB	Environmental Hazards
053F1502	Business History Review
054FBC0D	Materials Science-medziagotyra
0578C894	ACM Siguccs Newsletter
058D199D	Western Journal of Communication
05A2CA7D	Polymer Science Series C
05AEF7BE	Columbia Journal of Law and Social Problems
05BF29AE	Anthropological Linguistics
05D142B8	Medicina Oral Patologia Oral Y Cirugia Bucal
05D1FF1D	Medicina Dello Sport
05D8C7C1	Journal of King Abdulaziz University-earth Sciences
05F01138	Review of European Community and International Environmental Law
05F64FE2	Differential Geometry and Its Applications
0610566C	Bulletin of The Natural History Museum. Entomology Series
061581B7	Perspectives in Vascular Surgery
06252446	Aerosol and Air Quality Research
0634F471	Aplar Journal of Rheumatology
063DE9F2	Ethnologia Scandinavica
064854A1	Ecclesiology
065378E2	Semergen - Medicina De Familia
0662F17B	Archive: Proceedings of The Institution of Mechanical Engineers 1847-1982 (vols 1-196)
066E44C0	Alzheimer Disease & Associated Disorders
0675440F	Journal of Organ Dysfunction
068065EF	Womens History Review
068F0757	Political Behavior
069848BC	Clinical and Experimental Optometry
069ECC4B	Studies in Philology
06A97011	History of Economic Ideas
06B7C9BE	Parallel Computing
06BBFF56	Portuguese Economic Journal
06C58266	International Journal of Biometrics
06C79FDF	International Journal of Radiation Applications and Instrumentation. Part C. Radiation Physics and Chemistry
06F2FA82	Journal of Computer Science & Systems Biology
06FCE408	Ndt Plus
06FDCC51	Journal of Turbomachinery-transactions of The Asme
0705DA2B	Journal of Restructuring Finance
07071F5E	Millennium Film Journal
0709F6FD	Physical Review C
0711014C	Review of Religious Research
0714AADE	Geomagnetism and Aeronomy
073E1728	Biofutur
073E91BF	Medicine Health Care and Philosophy
074D6D9C	Revue Du Rhumatisme
0755531A	Electrodeposition and Surface Treatment
075799B5	International Journal of Modelling, Identification and Control
076428A2	Gender and Education
0769F174	Journal of Interlibrary Loan,document Delivery & Electronic Reserve
076BC4DE	International Journal of Intelligent Computing and Cybernetics
07741702	Cloning
0778671E	Mapping Sciences & Remote Sensing
07894B1D	Journal of Comparative Social Welfare
078EC16F	Apidologie
079A3DA5	Journal of Crop Science and Biotechnology
079FDF74	Afrique contemporaine
07A45C08	Journal De Physique Iv
07AFF0EB	Education, Business and Society: Contemporary Middle Eastern Issues
07B0F180	Facta Universitatis - Series: Physics, Chemistry and Technology
07B5395A	Transactions of The Royal Society of Tropical Medicine and Hygiene
07B9E74B	International Journal of Wine Marketing
07BC1161	Current Atherosclerosis Reports
07C03299	Microbiology Education
07C19619	European Journal of Clinical Microbiology & Infectious Diseases
07C3CF1F	Diversity
07C4B092	Quintessence International
07C662DD	Mutation Research Letters
07C91134	Biological Sciences in Space
07FE1DC1	Human Resource Management
080ACF85	Criticism-a Quarterly for Literature and The Arts
08243390	Anales De Pediatria
08250BD2	Bibliotheque D Humanisme Et Renaissance
0829BE81	Aeronautical Journal
0835BF51	Journal of The European Academy of Dermatology and Venereology
08361C7E	Rutgers Computer and Technology Law Journal
0837A999	Surface Science
083A520F	Journal of Tropical Pediatrics
08426119	Jioshinsetikkusu Rombunshu (geosynthetics Engineering Journal)
08454ABD	Journal of The Japan Society of Powder and Powder Metallurgy
084D61FD	Qualitative Market Research: An International Journal
085E2D78	Revista De Economia Mundial
086A8977	Journal of Clinical Bioinformatics
086C9516	Monatshefte
086D1507	Research Journal of Obstetrics and Gynecology
086E49E3	American Journal of Rhinology & Allergy
08751BF7	Cold Regions Science and Technology
08753DC2	Strategic Change
087BC58E	Stp Pharma Sciences
0885EBE8	International Journal of Ultra Wideband Communications and Systems
089007CD	Food Service Technology
0898FBF8	Seminars in Neurology
08995DDA	Electrolyte & Blood Pressure
08A2503B	Journal of The New York Entomological Society
08A5596E	International Journal of Knowledge-based Development
08A5D250	Biochemical Medicine and Metabolic Biology
08C87D51	Hot Topics in Hypertension
08E3548D	Acta Crystallographica Section C-crystal Structure Communications
08E842E4	Latest Word: The Bimonthly Newsletter for Medical Transcriptionists, The
08EA76F1	Asian and Pacific Migration Journal
08EAC51C	Mythos
08EB80F0	Journal of Cancer Education
090089AE	Microchemical Journal
091FE1C1	Sexologies
092601AE	Socio-economic Planning Sciences
0935FE4B	IEEE Transactions on Engineering Management
093A6C2A	Home Health Care Services Quarterly
0942EB66	Electronics
094795DF	Electronics and Communications in Japan
094BDF05	Journal of Clinical Anesthesia
09525DB1	Cognitive Semiotics
09543342	Journal of Latina/o Psychology
09650961	Emergency Medicine Clinics of North America
0965C46A	International Journal of Cognitive Informatics and Natural Intelligence
096A81CB	Explicacion De Textos Literarios
096E4EAA	Biomagnetic Research and Technology
0975A766	Journal of Economic Studies
097696CE	Gastrointestinal Endoscopy Clinics of North America
097C9AE0	International Journal of Pediatrics
09873AD9	Transactions of Famena
09AE93C7	Brain and Mind
09AF2E0D	Mini-reviews in Medicinal Chemistry
09C5D93E	Comparative Drama
09CCC609	Asian Nursing Research
09DACCBD	Balkan Journal of Geometry and Its Applications
09FDAF1D	Electrical Engineering in Japan
0A05483E	British Journal of Anaesthetic and Recovery Nursing
0A0DE520	Kybernetes
0A111966	Canadian Journal of Veterinary Research-revue Canadienne De Recherche Veterinaire
0A25BEBA	Religion and American Culture-a Journal of Interpretation
0A29A850	ACM Transactions on Sensor Networks
0A2C86F1	Goya
0A467E22	Nin
0A474322	Revista Musical Chilena
0A53F71B	Muscle & Nerve
0A559A5D	Management Research News
0A588880	Current Psychiatry Reviews
0A5D29EC	Social Security Bulletin
0A719724	Regional and Urban Economics
0A7278FB	Journal of Water Resource and Protection
0A743919	Kuram Ve Uygulamada Egitim Bilimleri
0A87A56A	African Journal of Paediatric Surgery
0A92811D	International Journal for Numerical Methods in Biomedical Engineering
0AA196B2	Industrial Crops and Products
0AACE4B9	Anthrozoos
0AAD017D	Proteus
0AAD0C9F	The Korean Journal of Gastroenterology
0AAE2941	Process Safety and Environmental Protection
0AB0AC37	Women & Politics
0AB7AE7F	Supervisie En Coaching
0ACFF415	Critical Reviews in Oral Biology & Medicine
0AE29C51	ACM Sigsac Review
0AF3E194	Periodica Polytechnica Mechanical Engineering
0AFD81F2	European Journal of Industrial Engineering
0B082204	Journal of Sociology and Social Welfare
0B0AC9A2	Information Technology & People
0B0D9DA3	Assessment Update
0B101E8C	Hpb
0B15724D	Journal of Biological Education
0B1D9922	Thalamus and Related Systems
0B1FFFAC	Biological Research
0B2EF997	Advances in Virus Research
0B440D49	Journal of The Institute of Conservation
0B4A0DFC	Journal of Biological Standardization
0B60015A	Modern & Contemporary France
0B62666D	The Open Allergy Journal
0B7A9A0B	Advanced Robotics
0B865C30	Advances in Agronomy
0B877A4E	Seminars in Respiratory and Critical Care Medicine
0B880EF5	Cellular Immunology
0B8D060A	Physics and Chemistry of Glasses-european Journal of Glass Science and Technology Part B
0BA1068F	Biogeochemistry
0BA4A0E7	Indian Journal of Physics
0BA6075B	Journal of Elementary Science Education
0BACF28F	Annalen Der Philosophie Und Philosophischen Kritik
0BD793D2	International Journal of The Platonic Tradition
0BDFF7B8	Studies in Inorganic Chemistry
0BE39706	Laeknabladid
0BEC136F	Environment and Planning B-planning & Design
0BF8148F	Journal of Electronic Testing
0BFA882C	International Journal of Knowledge and Systems Science
0C0CFE64	Harrington Lesbian Fiction Quarterly
0C219FBF	Geomorphology
0C243AE3	Child & Family Social Work
0C55F4AF	New Directions for Program Evaluation
0C561A96	Methods in Microbiology
0C5944D0	Journal of Foodservice Business Research
0C5D2CA6	Journal of Carbohydrate Chemistry
0C65928A	The Open Communication Journal
3893B9D2	Zhurnal Nevrologii I Psikhiatrii Imeni S S Korsakova
38A6DBCC	Nuova Rivista Musicale Italiana
38F50614	Telecommunications Reports International
390C1985	Journal of Association of Physicians of India
3A173A9A	United Kingdom Balance of Payments: The Pink Book
3A99B699	Jahrbuch für Romanische und Englische Literatur
3B58E08C	Confluencia-revista Hispanica De Cultura Y Literatura
3B6EA265	Caravelle-cahiers Du Monde Hispanique Et Luso-bresilien
3BCDE8DD	AION Linguistica
3C38B50F	Earth Observation and Remote Sensing
3CA44FEE	Gulf Coast Association of Geological Societies
3CAA42BC	Zeitschrift Fur Evangelische Ethik
3CD2FDAB	Blake-an Illustrated Quarterly
3D0C3C6B	Hispanofila
3DEEED86	International Journal of Agricultural and Statistical Sciences
3E401944	Zeitschrift Fur Familienforschung
3E4AB202	Connaissance Des Arts
08ABCD39	ACS Nano
00CDAD55	Environmental Science & Technology
06286A6F	Journal of Advertising
004B24C1	Organometallics
02BA3404	Neuron
02CA146E	Physician Executive
0A325ADE	Inorganic Chemistry
3A33AFF5	American Economic Journal
094F25B9	Biosensors and Bioelectronics
0888BEDD	American Journal of Science
021E79DB	Contemporary Family Therapy
001CADD8	Reproductive Toxicology
04368523	Journal of Materials Engineering and Performance
00385E25	Biological Psychology
04B902ED	Medical Care
093AD12A	Psychology of Aesthetics, Creativity, and the Arts
084B2890	Annales. Histoire, Sciences Sociales
01A6EE0D	Survival
07D986A7	PRIMUS
02906BDE	PharmacoEconomics
0668B5B3	Journal of the History of Medicine and Allied Sciences
00EBABA3	Evidence-based Complementary and Alternative Medicine
3D3D0549	Allgemeine musikalische Zeitung
09E594C4	Solar Energy Materials and Solar Cells
0182679C	Journal of Food Composition and Analysis
04D3783B	Ecology Letters
090ADB1B	Philosophical Papers
0C37BAD2	International Journal of Nanoscience
096E9333	Journal of Mathematical Physics
02BD5D90	Asia Journal of Theology
3DCE1360	Revista Colombiana de Estadistica
07271128	Vanderbilt Law Review
021BB27C	Psychological Assessment
05088AEA	Journal of Southern African Studies
0123B704	The International Journal of Psychoanalysis
0AE146FF	Journal of Pharmacy Practice
07AF6BA3	Journal of Optics
01A287EB	Philosophical Psychology
0A372208	Osiris
0700E19F	Cancer Chemotherapy and Pharmacology
02C6B1B3	Convergence
0805B720	Journal of Oil Palm Research
049E9AD8	Modern Language Notes
0313EB3E	Parasite
02DB1CA9	Psycoloquy
02BFF318	Journal of Heterocyclic Chemistry
0BE044BA	Optical Materials
058FF05F	Corpus Linguistics and Linguistic Theory
002148B6	Artificial Life
0506D209	The Family Journal
05E074ED	The Minnesota Review
02F8B3AC	Journal of Baltic Studies
0507BAA0	CNS Neuroscience & Therapeutics
087D002B	Fordham Law Review
0A387409	Zootaxa
02FA739D	Politics & Society
06E979F4	Journal of Hypertension
071290E6	Transnational Dispute Management
071F2CF8	Educational Studies in Mathematics
0BFF8349	Second Language Research
05B26F34	Qualitative Research Reports in Communication
09495EC8	International Journal of American Linguistics
37E7347B	JCDA
021BED7C	The Coleopterist
08B45211	Genomics
094C8929	International Journal of Speech-Language Pathology
04BD27A6	Journal of Official Statistics
0547FCF1	New Media & Society
074C6820	Environmental Philosophy
023BDDDB	East European Politics and Societies
07775D4C	Journal of the American Association of Nurse Practitioners
05F24CDD	Public Archaeology
01767FA1	Journal of the Royal College of Physicians of Edinburgh
02D90A03	Computational and Mathematical Organization Theory
0C3661F4	Acta Physiologica
04C0BFAF	Journal for Peace and Justice Studies
07D501EE	North Korean Review
0162C997	The Journal of Entrepreneurial Finance
04EF5F50	Feminist Formations
05370E14	Electronic Communications in Probability
09E6B15D	Constitutional Political Economy
0239E6F1	Journal of Mass Spectrometry
3B4EFF2A	Journal of Management & Social Sciences
023FC151	Internet Archaeology
01C7F8BB	Annual Review of Astronomy and Astrophysics
0639A543	Acta Orthopaedica et Traumatologica Turcica
00EA5CC8	Stratigraphy and Geological Correlation
00F022EB	Canadian Journal of Family Law
030D6C3A	Work And Occupations
0BC3F381	Simiolus: Netherlands Quarterly for the History of Art
02A8DB0F	Open Mathematics
077BEC1C	PALAIOS
03D460B4	Multivariate Behavioral Research
39C3A419	The Falkland Islands Journal
3A7D501E	Central Asia Monitor
00F43F0F	Journal of Multimedia
0193851F	French Forum
02B13870	Eclética Química
04A7EF94	The Open Ecology Journal
081AA33C	Revue d'Égyptologie
0BEED2E2	Trends in Amplification
00D4D6B1	AlterNative
0142A015	Journal of Religion in Africa
0222951D	Winterthur Portfolio
0230979B	European Journal of Mass Spectrometry
023B77B6	Politeia
0B3B3E24	IZA Journal of Migration
03D44FBE	Software and Systems Modeling
058D439E	Biological Procedures Online
0399B945	Geoscientific Model Development
06DF7084	Ukrainian Journal of Physics
0830DC35	Journal of Neuroimmunology
0BC0E654	Journal of International Economic Law
000A0E18	Allergy, Asthma & Clinical Immunology
00173437	Siam Journal on Scientific and Statistical Computing
001F7363	Stem Cell Research & Therapy
001FED78	Conflict Resolution Quarterly
002211EF	Urologia Internationalis
00224FB6	Current Microbiology
0037821D	Arzneimittel-forschung-drug Research
00395104	Proceedings of The Geologists Association
003B66D2	Microfluidics and Nanofluidics
003FAE07	Southeastern Europe
003FFFAF	Kuwait Journal of Science & Engineering
004CF64D	Biodiversity and Conservation
0050BB93	Journal of The Society for Social Work and Research
00543BD7	Postmedieval: A Journal of Medieval Cultural Studies
006408F9	Journal of Social Issues in Southeast Asia
0066E01A	The Open Bone Journal
00691C66	Annual Review of Language Acquisition
006AE3D1	Oral History Review
0070E07E	Transformations in Business & Economics
007C8384	Revista Dental Press De Ortodontia E Ortopedia Facial
00820F83	Economie Et Statistique
00981624	Handbook of Econometrics
00A6DF1F	IEEE Transactions on Vehicular Technology
00A9ADF3	Sexual Health
00B4378C	International Journal of Research in Marketing
00B7AD31	Revue D'histoire Des Sciences Et De Leurs Applications
00BD542A	Iee Proceedings-computers and Digital Techniques
00BDD2C9	Journal of Criminal Law
00C0F1C4	Tumor Biology
00DA9A26	Endodontics & Dental Traumatology
00DF2DED	New Zealand Journal of Geology and Geophysics
00E789D0	Oecd Journal on Budgeting
00E8E212	Arquivos Brasileiros De Endocrinologia E Metabologia
00F9980F	Revue Internationale De La Croix-rouge
00FB0B7C	Journal of Political Marketing
0105414B	Proceedings of The Royal Entomological Society of London. Series A, General Entomology
0115A2EE	Water History
01227BE5	Urban Lawyer
0126413F	South African Journal of Marine Science-suid-afrikaanse Tydskrif Vir Seewetenskap
0132D7AD	Circuits Systems and Signal Processing
014B92E1	Philosophia Mathematica
0152A6B0	Journal of Clinical Geropsychology
015300AD	Translation Review
0154111B	International Journal of Culture and Mental Health
015C7C77	International Journal of Information and Operations Management Education
01875C02	Statutes and Decisions
01A22CF5	Southern African Linguistics and Applied Language Studies
01A8B29B	Lex Localis-journal of Local Self-government
01AC143A	Proceedings of The Royal Society B: Biological Sciences
01B226F7	Zeitschrift Fur Orthopadie Und Unfallchirurgie
01BD07C2	Papier
01C0BFF2	Journal of Natural Fibers
01D8BF73	Ecological Entomology
01E72458	South Asian Popular Culture
01EB9E61	Iranian Polymer Journal
01F0FC15	Acta Scientiarum. Health Science
01F96624	Gaia-ecological Perspectives for Science and Society
01FDE000	Studies in Comparative Communism
02037C2F	Advances in Operations Research
0206DB19	Journal of The Saudi Pharmaceutical Society
02192B7A	Revista Chilena De Derecho
021C080F	IEEE Transactions on Power Apparatus and Systems
02210FEF	Guerres Mondiales Et Conflits Contemporains
0227ACE9	Journal of Mountain Science
0228AF2B	Journal of Hematopathology
022F283D	European Journal of Purchasing & Supply Management
02372900	Clinical Immunology
023D2CD5	Obituary Notices of Fellows of The Royal Society (1932-1954)
0257AF58	MJA InSight
0269D230	Anz Journal of Surgery
027D9D1F	Annales De Dermatologie Et De Venereologie
028DD164	International Journal of Data Mining, Modelling and Management
02943F7D	Muslim World Journal of Human Rights
029700EE	Innovations in Education and Training International
029EB4D2	Nephrology Reviews
02A2A8E3	Advances in Dermatology
02A55D2B	Electronic Research Announcements of The American Mathematical Society
02AB5B9E	Plant Biotechnology Reports
02B0077B	British Telecommunications Engineering
02B0B589	Combinatorial Chemistry - An Online Journal
02B26A20	International Journal of Reliability and Safety
02B2F149	Experimental Brain Research
02B92E9C	Pharmacy Practice (internet)
02C543BD	Race and Social Problems
02C8FEEC	European Journal of Nanomedicine
02CA44BF	Ambiente E Agua - An Interdisciplinary Journal of Applied Science
02DC5C08	Advances in The Study of Behavior
02E0B532	Enterprise Development and Microfinance
02E71B23	Script-ed
02EB2E81	Journal of African Languages and Linguistics
02F4EA4F	Journal of Apiproduct and Apimedical Science
02FFB080	Acta Acustica United With Acustica
02FFD2B2	Sen'i Kikai Gakkaishi (journal of The Textile Machinery Society of Japan)
03052218	Journal of Environmental Science for Sustainable Society
030577FE	Eurosurveillance
0313373A	Brain Imaging and Behavior
03134E81	Molecular Therapy
0349ADCD	Rendiconti Del Circolo Matematico Di Palermo
034C04A6	South African Journal of Business Management
0358AF95	Revue Francophone De Psycho-oncologie
0366BF92	Studia Linguistica Universitatis Iagellonicae Cracoviensis
0367A131	Physiological Genomics
036B298D	Historiographia Linguistica
03771636	Sites: The Journal of Contemporary French Studies
03880126	Journal of The American Animal Hospital Association
038D0B6B	Kautschuk Gummi Kunststoffe
03931995	Perspectives on Aural Rehabilitation and Its Instrumentation
0396A162	Journal of Occupational Accidents
039D40FE	Audiology and Neuro-otology
03A5B661	The Japanese Journal of Rehabilitation Medicine
03B58ED6	Geography and Natural Resources
03B5CFBE	International Journal of Accounting, Auditing and Performance Evaluation
03C1DF41	Italian Oral Surgery
03CECDF5	Asia Pacific World
03D8DEF9	Balint Journal
03E64F74	Journal of Electromyography and Kinesiology
03EB7B7D	Current Paediatrics
03F1F621	Annales De Medecine Interne
03F8F9DE	The Open Mechanical Engineering Journal
03FB8952	Journal of Clinical Psychology in Medical Settings
040C6BE9	Algebra and Logic
040FE945	Pediatric Clinics of North America
041F1CCB	Twentieth Century British History
042DF7C3	Phosphorus Sulfur and Silicon and The Related Elements
042E9492	Journal of Plant Biochemistry and Biotechnology
0431C8AB	Journal of American College Health
043802CE	Transportation Letters: The International Journal of Transportation Research
